corr_fct,corr_u,corr_v
2022-06-04 00:00:00,-3.141087,4.135339
2022-06-04 01:00:00,-3.032555,4.861477
2022-06-04 02:00:00,-3.243461,5.086152
2022-06-04 03:00:00,-3.437096,5.301044
2022-06-04 04:00:00,-3.501231,5.585317
2022-06-04 05:00:00,-3.397628,5.689195
2022-06-04 06:00:00,-3.754065,5.982510
2022-06-04 07:00:00,-3.598668,6.040632
2022-06-04 08:00:00,-3.835470,5.783287
2022-06-04 09:00:00,-4.878886,5.546519
2022-06-04 10:00:00,-5.274800,5.105977
2022-06-04 11:00:00,-5.578205,4.741159
2022-06-04 12:00:00,-5.404300,4.556977
2022-06-04 13:00:00,-5.707706,4.531030
2022-06-04 14:00:00,-5.502967,4.919576
2022-06-04 15:00:00,-5.478300,4.737716
2022-06-04 16:00:00,-5.917373,5.437357
2022-06-04 17:00:00,-5.856944,4.973351
2022-06-04 18:00:00,-6.043175,5.240265
2022-06-04 19:00:00,-5.436364,5.506684
2022-06-04 20:00:00,-5.787872,5.389228
2022-06-04 21:00:00,-6.366318,4.856955
2022-06-04 22:00:00,-6.446485,4.509938
2022-06-04 23:00:00,-6.326850,4.397904
2022-06-05 00:00:00,-6.434152,4.326087
2022-06-05 01:00:00,-6.553787,3.698872
2022-06-05 02:00:00,-6.996558,3.747344
2022-06-05 03:00:00,-7.121130,3.857493
2022-06-05 04:00:00,-7.304900,3.301384
2022-06-05 05:00:00,-7.198829,3.142477
2022-06-05 06:00:00,-7.266662,2.375212
2022-06-05 07:00:00,-7.101400,1.551640
2022-06-05 08:00:00,-7.341901,1.031209
2022-06-05 09:00:00,-8.112752,0.561940
2022-06-05 10:00:00,-9.088334,0.584121
2022-06-05 11:00:00,-9.687748,1.113071
2022-06-05 12:00:00,-9.891249,1.060463
2022-06-05 13:00:00,-9.767915,1.311267
2022-06-05 14:00:00,-9.048866,0.790532
2022-06-05 15:00:00,-8.971167,0.856478
2022-06-05 16:00:00,-8.775063,0.210739
2022-06-05 17:00:00,-8.797262,-0.251425
2022-06-05 18:00:00,-8.356951,-0.673888
2022-06-05 19:00:00,-7.826608,-1.598218
2022-06-05 20:00:00,-7.555274,-2.349763
2022-06-05 21:00:00,-7.575004,-2.973585
2022-06-05 22:00:00,-7.509639,-3.685763
2022-06-05 23:00:00,-7.481266,-4.074598
